date	time	n
07-06	266	5
07-06	267	1
07-06	270	2
07-06	271	2
07-06	273	2
07-06	278	1
07-06	280	4
07-06	281	1
07-06	285	1
07-06	290	3
07-06	293	2
07-06	295	1
07-06	297	1
07-06	299	1
07-06	300	54
07-06	301	3
07-06	302	2
07-06	303	1
07-06	304	4
07-06	306	2
07-06	307	4
07-06	309	2
07-06	310	5
07-06	315	1
07-06	319	1
07-06	320	1
07-06	322	3
07-06	323	2
07-06	325	4
07-06	327	1
07-06	330	1
07-06	332	1
07-06	333	2
07-06	336	2
07-06	337	6
07-06	339	1
07-06	340	1
07-06	342	2
07-06	344	1
07-06	345	6
07-06	346	1
07-06	347	2
07-06	350	3
07-06	351	2
07-06	352	7
07-06	353	3
07-06	354	2
07-06	355	2
07-06	357	2
07-06	358	3
07-06	359	1
07-06	360	55
07-06	361	4
07-06	362	1
07-06	365	3
07-06	366	1
07-06	370	1
07-06	372	1
07-06	373	2
07-06	376	1
07-06	377	2
07-06	379	1
07-06	380	1
07-06	381	2
07-06	388	4
07-06	390	3
07-06	391	1
07-06	392	1
07-06	393	1
07-06	394	1
07-06	397	6
07-06	400	2
07-06	401	3
07-06	402	5
07-06	404	1
07-06	406	4
07-06	407	3
07-06	410	1
07-06	414	2
07-06	419	4
07-06	420	55
07-06	421	1
07-06	423	2
07-06	426	2
07-06	429	2
07-06	430	1
07-06	432	2
07-06	433	2
07-06	434	3
07-06	435	255
07-06	453	48
07-06	454	1
07-06	456	1
07-06	459	4
07-06	460	1
07-06	466	3
07-06	470	2
07-06	471	1
07-06	473	1
07-06	476	1
07-06	478	5
07-06	479	6
07-06	480	56
07-06	481	1
07-06	482	3
07-06	484	1
07-06	485	1
07-06	488	3
07-06	490	1
07-06	494	1
07-06	500	3
07-06	504	1
07-06	507	1
07-06	508	1
07-06	510	2
07-06	513	3
07-06	520	1
07-06	522	1
07-06	523	8
07-06	524	29
07-06	525	2
07-06	526	30
07-06	527	4
07-06	528	18
07-06	529	1
07-06	530	1
07-06	532	2
07-06	533	8
07-06	535	1
07-06	536	3
07-06	537	2
07-06	538	10
07-06	539	3
07-06	540	60
07-06	542	4
07-06	543	18
07-06	545	2
07-06	548	32
07-06	549	5
07-06	550	2
07-06	553	10
07-06	555	2
07-06	557	1
07-06	558	12
07-06	559	1
07-06	560	2
07-06	561	4
07-06	563	10
07-06	564	1
07-06	568	13
07-06	570	1
07-06	573	21
07-06	575	1
07-06	576	1
07-06	578	16
07-06	579	5
07-06	580	5
07-06	582	1
07-06	583	16
07-06	586	1
07-06	588	14
07-06	590	1
07-06	592	1
07-06	593	14
07-06	595	2
07-06	598	13
07-06	599	1
07-06	600	25
07-06	603	15
07-06	604	1
07-06	607	1
07-06	608	12
07-06	610	3
07-06	613	12
07-06	615	1
07-06	616	1
07-06	618	19
07-06	619	1
07-06	620	5
07-06	621	1
07-06	622	1
07-06	623	12
07-06	626	2
07-06	627	1
07-06	628	25
07-06	629	1
07-06	630	3
07-06	632	5
07-06	633	18
07-06	634	2
07-06	635	1
07-06	637	1
07-06	638	12
07-06	640	1
07-06	641	2
07-06	643	12
07-06	645	1
07-06	648	18
07-06	649	4
07-06	650	2
07-06	651	3
07-06	653	12
07-06	654	4
07-06	655	3
07-06	657	3
07-06	658	18
07-06	659	1
07-06	660	30
07-06	663	8
07-06	667	13
07-06	668	16
07-06	669	64
07-06	670	128
07-06	673	12
07-06	674	1
07-06	678	13
07-06	680	24
07-06	681	14
07-06	683	18
07-06	684	3
07-06	686	2
07-06	687	1
07-06	688	18
07-06	690	1
07-06	693	17
07-06	694	9
07-06	697	4
07-06	698	16
07-06	700	2
07-06	701	2
07-06	702	1
07-06	703	26
07-06	708	8
07-06	710	7
07-06	712	24
07-06	713	30
07-06	714	1
07-06	717	21
07-06	718	18
07-06	719	3
07-06	720	63
07-06	723	2
07-06	724	3
07-06	725	8
07-06	726	3
07-06	727	1
07-06	729	2
07-06	730	20
07-06	733	6
07-06	734	4
07-06	735	17
07-06	736	2
07-06	737	4
07-06	738	2
07-06	739	1
07-06	740	13
07-06	743	1
07-06	744	4
07-06	745	28
07-06	746	1
07-06	747	1
07-06	748	3
07-06	750	17
07-06	751	2
07-06	752	1
07-06	753	2
07-06	754	6
07-06	755	22
07-06	756	1
07-06	758	4
07-06	760	7
07-06	761	254
07-06	830	45
07-06	831	2
07-06	833	16
07-06	838	10
07-06	839	3
07-06	840	66
07-06	841	4
07-06	843	18
07-06	844	3
07-06	848	10
07-06	850	1
07-06	853	16
07-06	854	9
07-06	856	8
07-06	858	26
07-06	859	4
07-06	860	11
07-06	861	20
07-06	863	8
07-06	866	1
07-06	868	18
07-06	870	1
07-06	873	16
07-06	875	4
07-06	878	12
07-06	880	1
07-06	881	4
07-06	883	10
07-06	885	1
07-06	888	16
07-06	890	1
07-06	892	1
07-06	893	23
07-06	895	8
07-06	896	21
07-06	898	16
07-06	899	4
07-06	900	58
07-06	902	2
07-06	903	20
07-06	905	6
07-06	908	57
07-06	909	38
07-06	910	6
07-06	911	1
07-06	912	183
07-06	913	25
07-06	914	274
07-07	93	55
07-07	94	2
07-07	95	1
07-07	96	3
07-07	97	8
07-07	98	11
07-07	100	1
07-07	102	11
07-07	108	11
07-07	110	9
07-07	111	12
07-07	112	8
07-07	113	2
07-07	114	16
07-07	115	22
07-07	116	10
07-07	117	313
07-07	118	155
07-07	119	1
07-07	120	55
07-07	128	2
07-07	129	2
07-07	130	31
07-07	131	25
07-07	132	34
07-07	136	20
07-07	137	10
07-07	140	1
07-07	141	2
07-07	149	2
07-07	150	1
07-07	155	4
07-07	156	18
07-07	160	1
07-07	163	22
07-07	170	1
07-07	179	1
07-07	180	54
07-07	181	2
07-07	190	1
07-07	197	8
07-07	200	1
07-07	210	1
07-07	220	1
07-07	230	30
07-07	238	7
07-07	239	1
07-07	240	512
07-07	241	1557
07-07	242	899
07-07	243	1117
07-07	244	890
07-07	245	1112
07-07	246	447
07-07	247	681
07-07	248	655
07-07	249	1109
07-07	250	1774
07-07	251	676
07-07	252	1331
07-07	253	656
07-07	254	1348
07-07	255	1110
07-07	256	883
07-07	257	887
07-07	258	656
07-07	259	437
07-07	260	427
07-07	261	599
07-07	262	274
07-07	263	348
07-07	264	208
07-07	265	136
07-07	266	141
07-07	267	135
07-07	268	137
07-07	269	136
07-07	270	71
07-07	271	202
07-07	272	402
07-07	273	396
07-07	274	39
07-07	275	69
07-07	276	69
07-07	277	139
07-07	278	136
07-07	279	138
07-07	280	133
07-07	281	143
07-07	283	224
07-07	284	68
07-07	285	79
07-07	286	84
07-07	287	97
07-07	288	109
07-07	289	69
07-07	290	69
07-07	291	69
07-07	292	215
07-07	293	326
07-07	294	68
07-07	295	68
07-07	296	68
07-07	297	204
07-07	298	68
07-07	299	69
07-07	300	191
07-07	301	77
07-07	302	2
07-07	303	1
07-07	305	10
07-07	306	78
07-07	309	68
07-07	310	135
07-07	311	136
07-07	312	68
07-07	314	136
07-07	315	270
07-07	316	136
07-07	317	68
07-07	318	136
07-07	319	68
07-07	320	69
07-07	321	68
07-07	322	68
07-07	323	146
07-07	324	69
07-07	325	68
07-07	326	135
07-07	327	129
07-07	328	96
07-07	329	255
07-07	558	44
07-07	560	1
07-07	568	30
07-07	570	1
07-07	573	1
07-07	577	27
07-07	578	4
07-07	579	10
07-07	580	2
07-07	581	2
07-07	584	18
07-07	587	1
07-07	590	3
07-07	591	5
07-07	592	13
07-07	593	13
07-07	595	5
07-07	596	2
07-07	599	2
07-07	600	56
07-07	602	3
07-07	603	3
07-07	605	7
07-07	606	1
07-07	608	1
07-07	609	1
07-07	610	1
07-07	612	2
07-07	615	1
07-07	616	5
07-07	618	3
07-07	619	1
07-07	620	1
07-07	622	1
07-07	623	5
07-07	624	6
07-07	625	1
07-07	626	2
07-07	627	1
07-07	628	2
07-07	629	3
07-07	630	3
07-07	632	3
07-07	636	1
07-07	637	1
07-07	639	2
07-07	640	23
07-07	641	3
07-07	642	2
07-07	643	2
07-07	645	2
07-07	648	1
07-07	649	4
07-07	650	1
07-07	651	5
07-07	654	15
07-07	655	3
07-07	657	4
07-07	659	4
07-07	660	31
07-07	661	2
07-07	664	1
07-07	665	1
07-07	666	1
07-07	667	4
07-07	668	2
07-07	670	1
07-07	672	1
07-07	674	1
07-07	675	2
07-07	676	4
07-07	677	4
07-07	678	393
07-07	679	5
07-07	680	17
07-07	681	1
07-07	682	4
07-07	687	1
07-07	690	2
07-07	691	2
07-07	692	2
07-07	693	2
07-07	694	2
07-07	698	1
07-07	699	5
07-07	700	1
07-07	701	2
07-07	702	2
07-07	703	1
07-07	704	2
07-07	706	2
07-07	708	1
07-07	710	1
07-07	712	1
07-07	713	2
07-07	716	1
07-07	718	3
07-07	719	1
07-07	720	55
07-07	721	2
07-07	722	1
07-07	723	2
07-07	725	3
07-07	726	8
07-07	728	1
07-07	730	1
07-07	731	1
07-07	734	2
07-07	735	2
07-07	736	1
07-07	740	6
07-07	745	3
07-07	747	4
07-07	749	1
07-07	750	2
07-07	751	2
07-07	752	2
07-07	755	2
07-07	758	4
07-07	759	2
07-07	760	1
07-07	763	2
07-07	764	2
07-07	769	2
07-07	770	8
07-07	771	1
07-07	774	5
07-07	775	4
07-07	776	2
07-07	778	3
07-07	779	1
07-07	780	57
07-07	781	4
07-07	784	1
07-07	786	3
07-07	788	4
07-07	789	5
07-07	790	9
07-07	792	1
07-07	793	2
07-07	795	2
07-07	798	2
07-07	800	1
07-07	801	4
07-07	802	4
07-07	803	6
07-07	806	4
07-07	808	1
07-07	809	1
07-07	810	6
07-07	811	2
07-07	813	3
07-07	819	1
07-07	820	6
07-07	823	4
07-07	824	3
07-07	825	6
07-07	826	6
07-07	828	2
07-07	829	2
07-07	830	3
07-07	834	5
07-07	836	2
07-07	837	5
07-07	839	3
07-07	840	55
07-07	842	2
07-07	843	5
07-07	845	4
07-07	847	4
07-07	848	3
07-07	849	2
07-07	850	1
07-07	855	1
07-07	856	3
07-07	857	5
07-07	858	4
07-07	859	9
07-07	860	5
07-07	861	249
07-07	1356	48
07-07	1357	1
07-07	1360	1
07-07	1369	4
07-07	1370	3
07-07	1371	1
07-07	1374	1
07-07	1376	1
07-07	1377	2
07-07	1379	9
07-07	1380	57
07-07	1381	2
07-07	1383	2
07-07	1385	1
07-07	1386	1
07-07	1387	1
07-07	1389	1
07-07	1390	1
07-07	1393	6
07-07	1396	3
07-07	1399	1
07-07	1400	1
07-07	1405	4
07-07	1408	2
07-07	1410	1
07-07	1413	5
07-07	1416	1
07-07	1417	1
07-07	1418	2
07-07	1420	1
07-07	1423	2
07-07	1424	1
07-07	1426	1
07-07	1427	1
07-07	1429	1
07-07	1430	1
07-07	1432	6
07-07	1433	3
07-07	1434	2
07-07	1438	2
07-07	1439	5
07-07	1440	54
07-08	15	44
07-08	20	1
07-08	24	1
07-08	28	1
07-08	29	2
07-08	30	21
07-08	34	2
07-08	36	14
07-08	37	7
07-08	38	1
07-08	40	1
07-08	45	2
07-08	48	1
07-08	50	21
07-08	56	1
07-08	57	1
07-08	58	10
07-08	59	2
07-08	60	54
07-08	69	2
07-08	70	7
07-08	71	1
07-08	80	1
07-08	83	1
07-08	90	1
07-08	91	1
07-08	97	1
07-08	100	1
07-08	101	1
07-08	103	1
07-08	104	1
07-08	110	1
07-08	119	32
07-08	120	55
07-08	124	8
07-08	126	11
07-08	130	1
07-08	139	258
07-08	387	43
07-08	388	42
07-08	390	1
07-08	398	7
07-08	400	1
07-08	401	2
07-08	403	10
07-08	410	1
07-08	412	13
07-08	413	10
07-08	417	3
07-08	418	129
07-08	419	29
07-08	420	56
07-08	421	2
07-08	424	3
07-08	425	2
07-08	426	1
07-08	427	1
07-08	428	30
07-08	429	35
07-08	430	1
07-08	431	2
07-08	432	22
07-08	433	415
07-08	437	44
07-08	440	1
07-08	441	10
07-08	444	1
07-08	445	1
07-08	448	1
07-08	450	2
07-08	452	2
07-08	457	3
07-08	460	1
07-08	462	1
07-08	464	7
07-08	466	23
07-08	467	21
07-08	468	1
07-08	469	1
07-08	470	24
07-08	475	1
07-08	477	3
07-08	479	1
07-08	480	55
07-08	481	1
07-08	484	2
07-08	487	1
07-08	490	2
07-08	500	22
07-08	501	20
07-08	505	1
07-08	509	1
07-08	510	1
07-08	512	1
07-08	520	1
07-08	526	4
07-08	530	1
07-08	537	20
07-08	538	86
07-08	539	331
07-08	540	94
07-08	542	20
07-08	543	31
07-08	547	22
07-08	548	1
07-08	549	10
07-08	550	1
07-08	552	1
07-08	553	7
07-08	554	1
07-08	555	1
07-08	556	2
07-08	560	4
07-08	561	1
07-08	570	1
07-08	571	1
07-08	573	1
07-08	574	9
07-08	578	1
07-08	579	1
07-08	580	1
07-08	587	30
07-08	590	1
07-08	599	1
07-08	600	55
07-08	610	1
07-08	611	1
07-08	612	6
07-08	620	1
07-08	630	1
07-08	640	1
07-08	649	1
07-08	650	1
07-08	651	7
07-08	654	4
07-08	655	24
07-08	656	24
07-08	659	1
07-08	660	64
07-08	661	4
07-08	663	10
07-08	664	56
07-08	670	31
07-08	671	19
07-08	672	3
07-08	677	22
07-08	678	1
07-08	680	16
07-08	690	1
07-08	695	35
07-08	700	2
07-08	701	10
07-08	710	1
07-08	717	60
07-08	719	1
07-08	720	54
07-08	730	1
07-08	740	1
07-08	747	2
07-08	749	2
07-08	750	1
07-08	753	10
07-08	755	21
07-08	757	2
07-08	760	27
07-08	765	20
07-08	769	1
07-08	770	1
07-08	772	10
07-08	779	2
07-08	780	55
07-08	784	1
07-08	788	1
07-08	789	1
07-08	790	1
07-08	791	1
07-08	793	1
07-08	797	2
07-08	798	2
07-08	800	1
07-08	802	1
07-08	803	5
07-08	804	2
07-08	806	2
07-08	807	9
07-08	808	8
07-08	809	6
07-08	810	11
07-08	811	7
07-08	812	3
07-08	813	8
07-08	815	1
07-08	819	1
07-08	820	1
07-08	823	1
07-08	830	1
07-08	839	1
07-08	840	55
07-08	843	7
07-08	850	1
07-08	860	1
07-08	870	1
07-08	872	2
07-08	880	1
07-08	883	10
07-08	890	1
07-08	897	7
07-08	898	1
07-08	899	10
07-08	900	54
07-08	901	1
07-08	902	1
07-08	903	1
07-08	905	6
07-08	907	3
07-08	908	2
07-08	909	1
07-08	910	1
07-08	911	2
07-08	912	1
07-08	914	1
07-08	916	2
07-08	917	3
07-08	918	1
07-08	919	1
07-08	920	1
07-08	921	33
07-08	922	20
07-08	924	1
07-08	925	3
07-08	926	11
07-08	929	3
07-08	930	1
07-08	936	3
07-08	940	1
07-08	943	1
07-08	944	13
07-08	950	1
07-08	959	1
07-08	960	55
07-08	968	1
07-08	969	4
07-08	970	1
07-08	980	3
07-08	981	2
07-08	983	3
07-08	985	34
07-08	990	1
07-08	994	1
07-08	998	1
07-08	1000	1
07-08	1003	2
07-08	1010	4
07-08	1012	1
07-08	1017	10
07-08	1019	5
07-08	1020	55
07-08	1024	2
07-08	1029	2
07-08	1030	1
07-08	1036	1
07-08	1037	19
07-08	1039	21
07-08	1040	3
07-08	1041	8
07-08	1042	1
07-08	1045	1
07-08	1046	2
07-08	1047	2
07-08	1049	172
07-08	1050	266
07-09	30	45
07-09	32	2
07-09	33	10
07-09	35	12
07-09	36	2
07-09	37	2
07-09	40	1
07-09	50	1
07-09	57	3
07-09	59	1
07-09	60	55
07-09	62	22
07-09	67	1
07-09	68	2
07-09	70	3
07-09	76	19
07-09	77	2
07-09	80	1
07-09	82	2
07-09	86	2
07-09	88	1
07-09	90	1
07-09	93	1
07-09	95	22
07-09	99	1
07-09	100	1
07-09	101	1
07-09	102	2
07-09	104	21
07-09	107	4
07-09	108	4
07-09	110	1
07-09	111	2
07-09	112	2
07-09	113	2
07-09	115	34
07-09	117	22
07-09	118	22
07-09	119	3
07-09	120	77
07-09	121	22
07-09	122	1
07-09	123	22
07-09	124	22
07-09	125	22
07-09	127	22
07-09	128	22
07-09	130	26
07-09	131	22
07-09	133	22
07-09	134	22
07-09	135	1
07-09	136	22
07-09	137	22
07-09	139	22
07-09	140	23
07-09	141	21
07-09	142	23
07-09	143	22
07-09	145	22
07-09	146	22
07-09	148	22
07-09	149	22
07-09	150	23
07-09	151	1
07-09	152	23
07-09	153	22
07-09	155	22
07-09	156	22
07-09	158	22
07-09	159	23
07-09	160	1
07-09	161	22
07-09	162	22
07-09	163	1
07-09	164	23
07-09	165	22
07-09	167	22
07-09	168	22
07-09	170	23
07-09	171	22
07-09	172	22
07-09	173	1
07-09	174	22
07-09	175	22
07-09	177	22
07-09	178	22
07-09	179	1
07-09	180	78
07-09	181	22
07-09	183	22
07-09	184	23
07-09	186	25
07-09	187	26
07-09	188	250
07-09	384	92
07-09	387	20
07-09	388	10
07-09	390	1
07-09	400	1
07-09	410	1
07-09	415	7
07-09	419	1
07-09	420	55
07-09	430	1
07-09	438	5
07-09	440	1
07-09	450	1
07-09	460	1
07-09	470	1
07-09	477	1
07-09	478	6
07-09	479	1
07-09	480	55
07-09	490	1
07-09	500	1
07-09	510	1
07-09	520	1
07-09	530	1
07-09	539	1
07-09	540	85
07-09	541	6
07-09	542	1
07-09	550	1
07-09	560	4
07-09	564	1
07-09	570	1
07-09	580	1
07-09	590	1
07-09	599	1
07-09	600	57
07-09	605	25
07-09	609	7
07-09	610	3
07-09	612	1
07-09	620	2
07-09	624	1
07-09	630	1
07-09	632	1
07-09	636	1
07-09	640	1
07-09	642	42
07-09	643	1
07-09	647	18
07-09	648	1
07-09	650	1
07-09	651	7
07-09	652	14
07-09	655	28
07-09	657	20
07-09	659	1
07-09	660	31
07-09	663	16
07-09	667	2
07-09	668	20
07-09	670	1
07-09	673	1
07-09	676	1
07-09	679	2
07-09	680	16
07-09	690	1
07-09	691	1
07-09	700	1
07-09	703	1
07-09	710	1
07-09	713	1
07-09	716	2
07-09	718	10
07-09	719	1
07-09	720	55
07-09	724	20
07-09	727	1
07-09	730	1
07-09	739	1
07-09	740	1
07-09	745	10
07-09	746	23
07-09	748	1
07-09	750	1
07-09	751	2
07-09	753	23
07-09	754	464
07-09	768	44
07-09	770	1
07-09	772	1
07-09	775	2
07-09	776	1
07-09	779	1
07-09	780	55
07-09	788	1
07-09	790	1
07-09	800	2
07-09	810	1
07-09	812	3
07-09	820	1
07-09	825	1
07-09	830	1
07-09	836	10
07-09	837	5
07-09	838	14
07-09	839	2
07-09	840	55
07-09	841	12
07-09	842	1
07-09	846	1
07-09	850	1
07-09	851	1
07-09	852	5
07-09	853	3
07-09	854	4
07-09	855	1
07-09	856	1
07-09	857	46
07-09	859	18
07-09	860	311
07-09	862	88
07-09	866	10
07-09	870	1
07-09	880	1
07-09	882	1
07-09	884	27
07-09	885	6
07-09	890	1
07-09	892	2
07-09	893	1
07-09	896	28
07-09	899	1
07-09	900	55
07-09	903	30
07-09	905	10
07-09	909	11
07-09	910	15
07-09	911	13
07-09	912	60
07-09	914	38
07-09	915	25
07-09	917	6
07-09	920	1
07-09	922	7
07-09	930	1
07-09	931	1
07-09	932	1
07-09	933	24
07-09	934	20
07-09	935	1
07-09	940	1
07-09	945	10
07-09	946	11
07-09	948	10
07-09	949	34
07-09	950	8
07-09	951	1
07-09	952	30
07-09	953	29
07-09	954	3
07-09	955	65
07-09	957	1
07-09	958	2
07-09	959	1
07-09	960	55
07-09	962	1
07-09	965	4
07-09	968	1
07-09	970	11
07-09	971	10
07-09	972	10
07-09	979	1
07-09	980	1
07-09	986	5
07-09	990	1
07-09	997	1
07-09	998	1
07-09	999	1
07-09	1000	1
07-09	1003	10
07-09	1005	2
07-09	1010	1
07-09	1013	10
07-09	1014	20
07-09	1019	5
07-09	1020	56
07-09	1022	3
07-09	1023	1
07-09	1024	5
07-09	1027	1
07-09	1028	1
07-09	1029	1
07-09	1030	1
07-09	1031	31
07-09	1032	84
07-09	1033	6
07-09	1034	414
07-10	1	22
07-10	2	32
07-10	3	5
07-10	10	1
07-10	20	1
07-10	30	1
07-10	37	4
07-10	38	4
07-10	39	170
07-10	59	41
07-10	60	55
07-10	63	10
07-10	65	17
07-10	70	1
07-10	72	1
07-10	75	1
07-10	80	1
07-10	88	16
07-10	90	1
07-10	95	4
07-10	100	1
07-10	105	10
07-10	110	1
07-10	113	2
07-10	114	2
07-10	116	4
07-10	119	1
07-10	120	55
07-10	129	4
07-10	130	1
07-10	133	22
07-10	134	30
07-10	136	1
07-10	137	1
07-10	138	13
07-10	139	9
07-10	140	1
07-10	141	10
07-10	142	13
07-10	144	1
07-10	150	30
07-10	151	14
07-10	153	1
07-10	156	2
07-10	157	1
07-10	160	4
07-10	162	19
07-10	163	5
07-10	165	15
07-10	170	3
07-10	172	5
07-10	179	1
07-10	180	55
07-10	190	1
07-10	191	4
07-10	193	4
07-10	195	2
07-10	200	1
07-10	204	1
07-10	210	3
07-10	212	5
07-10	214	4
07-10	220	1
07-10	222	9
07-10	223	5
07-10	224	32
07-10	227	1
07-10	230	1
07-10	231	4
07-10	233	3
07-10	235	1
07-10	236	1
07-10	237	8
07-10	238	51
07-10	239	5
07-10	240	173
07-10	387	102
07-10	388	10
07-10	390	4
07-10	391	63
07-10	393	53
07-10	394	16
07-10	395	145
07-10	396	1
07-10	397	24
07-10	398	21
07-10	399	13
07-10	400	6
07-10	402	1
07-10	409	5
07-10	410	209
07-10	411	23
07-10	412	4
07-10	414	85
07-10	415	956
07-10	416	2300
07-10	417	21
07-10	419	1
07-10	420	56
07-10	423	1
07-10	424	17
07-10	425	936
07-10	426	2312
07-10	427	25
07-10	428	10
07-10	429	21
07-10	430	21
07-10	431	21
07-10	433	62
07-10	434	7
07-10	436	71
07-10	437	68
07-10	440	2
07-10	441	1
07-10	443	3
07-10	444	1
07-10	445	3
07-10	446	2
07-10	448	2
07-10	449	4
07-10	450	5
07-10	453	4
07-10	454	4
07-10	455	2
07-10	457	1
07-10	459	7
07-10	460	1
07-10	461	2
07-10	462	1
07-10	465	1
07-10	466	1
07-10	470	3
07-10	475	1
07-10	477	2
07-10	479	2
07-10	480	55
07-10	481	22
07-10	484	2
07-10	488	1
07-10	489	1
07-10	490	1
07-10	492	1
07-10	497	1
07-10	500	1
07-10	501	2
07-10	505	1
07-10	510	2
07-10	513	1
07-10	514	1
07-10	518	1
07-10	520	1
07-10	523	1
07-10	525	1
07-10	527	1
07-10	530	1
07-10	531	1
07-10	536	1
07-10	537	1
07-10	539	1
07-10	540	55
07-10	544	1
07-10	545	1
07-10	547	1
07-10	549	2
07-10	550	2
07-10	551	2
07-10	553	2
07-10	558	1
07-10	560	1
07-10	561	1
07-10	562	11
07-10	566	1
07-10	567	21
07-10	568	6
07-10	570	1
07-10	571	1
07-10	572	1
07-10	575	1
07-10	579	1
07-10	580	1
07-10	584	1
07-10	585	1
07-10	588	1
07-10	590	76
07-10	591	10
07-10	595	3
07-10	596	21
07-10	597	5
07-10	598	4
07-10	599	6
07-10	600	55
07-10	601	4
07-10	602	1
07-10	604	1
07-10	606	5
07-10	607	2
07-10	608	1
07-10	609	1
07-10	610	1
07-10	611	4
07-10	614	1
07-10	615	1
07-10	616	32
07-10	617	1
07-10	619	11
07-10	620	2
07-10	621	1
07-10	623	4
07-10	627	6
07-10	630	5
07-10	633	1
07-10	634	1
07-10	640	1
07-10	643	1
07-10	644	3
07-10	647	1
07-10	648	1
07-10	649	1
07-10	650	1
07-10	651	7
07-10	652	1
07-10	655	4
07-10	657	1
07-10	658	1
07-10	659	1
07-10	660	64
07-10	662	1
07-10	665	19
07-10	666	3
07-10	667	1
07-10	670	2
07-10	672	1
07-10	673	10
07-10	674	10
07-10	675	5
07-10	677	10
07-10	678	53
07-10	679	1
07-10	680	16
07-10	684	20
07-10	687	20
07-10	688	10
07-10	690	30
07-10	694	2
07-10	696	20
07-10	697	2
07-10	699	20
07-10	700	11
07-10	704	4
07-10	705	2
07-10	710	1
07-10	719	5
07-10	720	60
07-10	725	25
07-10	726	20
07-10	728	5
07-10	730	13
07-10	733	2
07-10	734	90
07-10	735	455
07-10	736	39
07-10	740	1
07-10	746	1
07-10	748	1
07-10	750	1
07-10	753	2
07-10	755	4
07-10	756	42
07-10	758	1
07-10	760	2
07-10	767	1
07-10	770	2
07-10	773	1
07-10	778	1
07-10	779	1
07-10	780	55
07-10	782	2
07-10	785	1
07-10	790	1
07-10	793	1
07-10	800	1
07-10	802	10
07-10	805	1
07-10	809	1
07-10	810	2
07-10	811	4
07-10	815	7
07-10	818	2
07-10	820	1
07-10	822	1
07-10	826	1
07-10	829	4
07-10	830	3
07-10	831	20
07-10	832	2
07-10	833	2
07-10	834	10
07-10	839	1
07-10	840	56
07-10	841	6
07-10	842	11
07-10	843	1
07-10	844	3
07-10	845	4
07-10	846	334
07-10	847	42
07-10	848	1
07-10	849	1
07-10	850	1
07-10	851	11
07-10	854	1
07-10	858	11
07-10	859	1
07-10	860	16
07-10	862	1
07-10	863	1
07-10	865	11
07-10	867	11
07-10	868	20
07-10	870	5
07-10	871	11
07-10	872	20
07-10	873	15
07-10	876	6
07-10	878	10
07-10	880	2
07-10	881	42
07-10	884	1
07-10	886	7
07-10	888	1
07-10	889	2
07-10	890	7
07-10	892	20
07-10	893	1
07-10	897	1
07-10	899	1
07-10	900	54
07-10	902	1
07-10	910	3
07-10	911	1
07-10	912	27
07-10	918	2
07-10	920	1
07-10	924	1
07-10	925	2
07-10	926	2
07-10	927	5
07-10	930	1
07-10	932	10
07-10	934	4
07-10	938	10
07-10	940	1
07-10	950	1
07-10	953	1
07-10	956	1
07-10	957	15
07-10	959	1
07-10	960	55
07-10	965	20
07-10	967	20
07-10	968	10
07-10	969	20
07-10	970	1
07-10	971	4
07-10	972	20
07-10	974	10
07-10	977	1
07-10	978	34
07-10	980	11
07-10	981	23
07-10	984	10
07-10	987	5
07-10	989	10
07-10	990	21
07-10	991	14
07-10	992	2
07-10	996	1
07-10	997	22
07-10	998	3
07-10	999	1
07-10	1000	6
07-10	1002	12
07-10	1003	33
07-10	1004	14
07-10	1005	12
07-10	1008	11
07-10	1009	14
07-10	1010	103
07-10	1011	24
07-10	1012	8
07-10	1013	30
07-10	1014	3
07-10	1015	1
07-10	1016	25
07-10	1017	2
07-10	1018	60
07-10	1019	4
07-10	1020	55
07-10	1022	8
07-10	1025	11
07-10	1027	2
07-10	1028	46
07-10	1029	12
07-10	1030	1
07-10	1031	13
07-10	1032	59
07-10	1033	54
07-10	1034	1
07-10	1035	30
07-10	1036	54
07-10	1037	3
07-10	1038	7
07-10	1039	568
07-10	1179	329
07-11	50	7
07-11	51	4
07-11	52	21
07-11	53	10
07-11	54	2
07-11	55	2
07-11	59	1
07-11	60	55
07-11	61	1
07-11	62	2
07-11	63	10
07-11	66	1
07-11	67	1
07-11	69	1
07-11	70	4
07-11	71	5
07-11	72	3
07-11	73	2
07-11	74	3
07-11	75	10
07-11	76	2
07-11	77	1
07-11	78	3
07-11	79	4
07-11	80	1
07-11	85	1
07-11	88	5
07-11	89	4
07-11	90	1
07-11	91	2
07-11	92	3
07-11	95	20
07-11	96	15
07-11	97	3
07-11	98	4
07-11	100	1
07-11	103	4
07-11	104	10
07-11	105	2
07-11	106	2
07-11	108	5
07-11	109	5
07-11	110	10
07-11	111	1
07-11	117	7
07-11	118	3
07-11	119	1
07-11	120	55
07-11	121	2
07-11	124	2
07-11	126	2
07-11	127	4
07-11	128	2
07-11	129	4
07-11	130	8
07-11	131	1
07-11	133	1
07-11	135	1
07-11	137	2
07-11	139	1
07-11	140	1
07-11	141	1
07-11	142	3
07-11	145	10
07-11	146	4
07-11	147	6
07-11	148	2
07-11	149	1
07-11	150	3
07-11	151	1
07-11	152	1
07-11	155	1
07-11	158	3
07-11	159	10
07-11	160	1
07-11	161	3
07-11	165	2
07-11	167	10
07-11	168	3
07-11	169	2
07-11	170	2
07-11	171	2
